ts_utc,mid,best_bid,best_ask,pos_btc,avg_entry,exposure_usd,realized_pnl,unrealized_pnl,total_pnl
2025-08-22T15:13:09.724521+00:00,116662.33,116662.32,116662.33,0.00000000,0.00,0.00,-0.00,0.00,-0.00
2025-08-22T15:13:11.766713+00:00,116664.95,116664.94,116664.95,-0.00229861,116664.95,-268.17,-0.00,0.00,-0.00
2025-08-22T15:13:13.796370+00:00,116662.88,116662.87,116662.88,0.05359545,116664.90,6252.60,0.09,-0.11,-0.02
2025-08-22T15:13:15.838102+00:00,116662.96,116662.95,116662.96,0.12323144,116664.78,14376.54,0.10,-0.22,-0.12
2025-08-22T15:13:17.894293+00:00,116662.33,116662.32,116662.33,0.75287990,116662.75,87832.72,0.22,-0.32,-0.11
2025-08-22T15:13:19.929156+00:00,116662.85,116662.84,116662.85,1.21988344,116662.59,142315.07,0.22,0.31,0.53
2025-08-22T15:13:21.967727+00:00,116662.33,116662.33,116662.34,1.38631283,116662.54,161730.49,0.24,-0.28,-0.04
2025-08-22T15:13:24.005779+00:00,116668.29,116668.29,116668.30,1.44964838,116662.80,169128.00,-0.06,7.96,7.90
